Location,Plate,Drug,conc (nM),pMEK,pERK,p-c-Jun,BCA
"1(1,A1)",1,JNK-IN-7,5,84,17,17,0.135
"2(1,B1)",1,JNK-IN-7,5,100,18.5,15,0.137
"3(1,C1)",1,JNK-IN-7,5,76,15,15,0.127
"4(1,D1)",1,U0126,20,1137,18,22,0.139
"5(1,E1)",1,U0126,20,1018.5,18,21,0.128
"6(1,F1)",1,U0126,20,405,15,15,0.14
"7(1,G1)",1,buffer,0,21,23,18,0.078
"9(1,A2)",1,JNK-IN-7,3.333,146,17,16,0.128
"10(1,B2)",1,JNK-IN-7,3.333,139,17.5,15,0.133
"11(1,C2)",1,JNK-IN-7,3.333,130,17,15,0.137
"12(1,D2)",1,U0126,13.333,1138,12.5,16,0.137
"13(1,E2)",1,U0126,13.333,1247,16,21,0.128
"14(1,F2)",1,U0126,13.333,1062.5,16,20,0.151
"15(1,G2)",1,buffer,0,28,15,16,0.072
"17(1,A3)",1,JNK-IN-7,2.222,157,10.5,14,0.131
"18(1,B3)",1,JNK-IN-7,2.222,169,18,14,0.132
"19(1,C3)",1,JNK-IN-7,2.222,161,16.5,13.5,0.132
"20(1,D3)",1,U0126,8.889,1081,17.5,21.5,0.132
"21(1,E3)",1,U0126,8.889,1160,16,22,0.134
"22(1,F3)",1,U0126,8.889,1041,14,17,0.134
"23(1,G3)",1,buffer,0,40.5,16,15,0.07
"25(1,A4)",1,JNK-IN-7,1.481,132,16,15,0.128
"26(1,B4)",1,JNK-IN-7,1.481,118,15,15,0.132
"27(1,C4)",1,JNK-IN-7,1.481,144.5,17,17,0.126
"28(1,D4)",1,U0126,5.926,1035,17,21,0.132
"29(1,E4)",1,U0126,5.926,1105.5,17,22,0.136
"30(1,F4)",1,U0126,5.926,720.5,16,18,0.138
"33(1,A5)",1,JNK-IN-7,0.988,129,14,15,0.129
"34(1,B5)",1,JNK-IN-7,0.988,167.5,12.5,14,0.122
"35(1,C5)",1,JNK-IN-7,0.988,205.5,15,15.5,0.114
"36(1,D5)",1,U0126,3.951,930,15,22,0.133
"37(1,E5)",1,U0126,3.951,953.5,16,20.5,0.137
"38(1,F5)",1,U0126,3.951,809.5,15,17,0.157
"41(1,A6)",1,JNK-IN-7,0.658,162,11,16,0.121
"42(1,B6)",1,JNK-IN-7,0.658,199,15,16,0.117
"43(1,C6)",1,JNK-IN-7,0.658,155,12,14,0.125
"44(1,D6)",1,U0126,2.634,677,13,18,0.135
"45(1,E6)",1,U0126,2.634,886,14,20,0.131
"46(1,F6)",1,U0126,2.634,615,12,18,0.141
"49(1,A7)",1,JNK-IN-7,0.439,201,10,17.5,0.123
"50(1,B7)",1,JNK-IN-7,0.439,164,14.5,16,0.128
"51(1,C7)",1,JNK-IN-7,0.439,153,14,17,0.131
"52(1,D7)",1,U0126,1.756,549,11,17,0.131
"53(1,E7)",1,U0126,1.756,581,13,18,0.13
"54(1,F7)",1,U0126,1.756,587.5,13,22,0.126
"57(1,A8)",1,JNK-IN-7,0.293,165,14,19,0.126
"58(1,B8)",1,JNK-IN-7,0.293,180.5,14,19,0.125
"59(1,C8)",1,JNK-IN-7,0.293,149,14,15.5,0.118
"60(1,D8)",1,U0126,1.171,511,15,19,0.128
"61(1,E8)",1,U0126,1.171,471,9.5,15.5,0.133
"62(1,F8)",1,U0126,1.171,412.5,15,20,0.122
"65(1,A9)",1,JNK-IN-7,0.195,227,13,16,0.118
"66(1,B9)",1,JNK-IN-7,0.195,191.5,16,17,0.121
"67(1,C9)",1,JNK-IN-7,0.195,193.5,17,17.5,0.117
"68(1,D9)",1,U0126,0.78,459.5,15.5,20,0.124
"69(1,E9)",1,U0126,0.78,424.5,13,22,0.125
"70(1,F9)",1,U0126,0.78,472.5,12.5,15,0.119
"73(1,A10)",1,JNK-IN-7,0.13,175,11.5,16,0.124
"74(1,B10)",1,JNK-IN-7,0.13,219,15,19,0.125
"75(1,C10)",1,JNK-IN-7,0.13,205,15,16.5,0.118
"76(1,D10)",1,U0126,0.52,318.5,13,18,0.13
"77(1,E10)",1,U0126,0.52,354.5,17,18,0.122
"78(1,F10)",1,U0126,0.52,270,14,18,0.128
"81(1,A11)",1,JNK-IN-7,0.087,159,15,15,0.109
"82(1,B11)",1,JNK-IN-7,0.087,178,15,19,0.12
"83(1,C11)",1,JNK-IN-7,0.087,192,12,15,0.137
"84(1,D11)",1,U0126,0.347,240,12,15,0.119
"85(1,E11)",1,U0126,0.347,269,14.5,15,0.131
"86(1,F11)",1,U0126,0.347,297.5,16,21,0.122
"89(1,A12)",1,JNK-IN-7,0,207,15,16,0.12
"90(1,B12)",1,JNK-IN-7,0,195,17,20,0.123
"91(1,C12)",1,JNK-IN-7,0,215,14,16,0.118
