Date Time,Elapsed,Control,R 1,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,Eto 8 uM,Gem 20 nM,Eto 0.2 uM,Gem 1.25 nM,Eto 1 uM,Gem 2.5 nM,Eto 2 uM,Gem 5 nM,Eto 4 uM,Gem 10 nM,,
3/3/17 12:00,0,8.67,6.81,9.59,7.99,9.35,7.27,9.00,7.06,8.58,7.27,9.25,7.25,9.54,6.98,9.38,8.07,8.84,7.58,9.39,6.78,,
3/3/17 15:00,3,9.79,8.39,10.59,9.16,10.66,8.15,10.19,8.14,9.44,8.15,10.20,8.30,10.85,7.93,10.62,9.07,9.67,8.27,10.38,7.27,,
3/3/17 18:00,6,11.81,10.27,11.89,10.77,11.68,10.57,11.39,9.89,10.45,9.43,10.92,9.97,12.35,9.42,11.98,11.00,10.95,9.45,11.80,8.26,,
3/3/17 21:00,9,12.52,10.57,13.09,11.32,12.78,10.63,12.12,10.09,10.91,10.50,11.53,10.76,13.30,10.40,12.62,11.19,11.36,10.80,12.36,9.25,,
3/4/17 0:00,12,14.11,11.35,14.64,12.33,14.12,11.80,12.86,11.42,11.98,10.29,12.65,10.79,15.14,11.18,13.40,11.69,12.09,10.99,12.89,8.91,,
3/4/17 3:00,15,15.43,12.71,16.26,13.56,15.24,12.06,14.04,12.07,12.99,10.95,13.36,11.48,16.60,11.54,14.73,12.80,13.25,11.55,14.34,9.30,,
3/4/17 6:00,18,17.78,14.38,18.35,14.31,15.77,14.22,15.20,12.31,13.75,12.13,14.36,11.71,18.35,13.31,16.98,13.78,14.69,11.57,15.51,10.31,,
3/4/17 9:00,21,20.16,15.98,20.85,15.83,18.38,14.76,16.92,13.33,15.23,12.81,15.49,12.27,20.74,14.27,18.28,14.20,16.75,11.83,16.53,10.71,,
3/4/17 12:00,24,20.90,15.79,19.62,15.09,17.80,13.68,16.25,12.60,14.37,10.69,14.59,10.10,18.43,12.21,17.38,12.74,14.99,10.83,14.92,8.61,,
3/4/17 15:00,27,24.17,17.80,22.30,17.32,20.52,14.70,18.64,13.08,15.47,12.08,15.85,11.61,22.00,15.34,19.83,13.73,17.17,12.32,16.31,11.16,,
3/4/17 18:00,30,26.64,20.10,23.47,17.81,21.71,15.62,20.24,13.32,16.30,12.66,16.95,13.55,23.25,15.05,20.42,15.63,18.16,12.31,16.43,11.34,,
3/4/17 21:00,33,28.35,21.08,26.07,18.60,22.06,16.27,22.20,14.74,16.20,12.16,16.29,11.91,25.27,16.40,21.41,16.37,17.85,12.68,16.13,10.34,,
3/5/17 0:00,36,30.69,22.95,27.83,20.05,24.22,16.63,23.94,14.04,17.94,13.27,16.42,12.03,26.39,16.31,23.55,17.05,18.94,12.26,16.89,10.83,,
3/5/17 3:00,39,33.63,25.48,30.38,21.74,25.21,17.59,25.01,14.57,18.31,12.55,17.51,12.27,28.19,18.87,24.52,17.20,20.16,13.69,17.95,10.84,,
3/5/17 6:00,42,37.31,28.06,32.81,23.01,28.75,19.67,26.00,16.85,18.61,12.21,17.53,13.66,31.80,19.45,26.92,18.87,21.37,14.45,18.89,11.39,,
3/5/17 9:00,45,40.73,29.87,35.71,24.66,32.82,19.40,28.58,15.56,20.11,13.44,18.23,14.02,36.22,21.37,30.29,19.87,23.06,14.99,19.50,11.12,,
3/5/17 10:07,46.11666667,45.77,36.70,44.38,30.73,39.12,25.75,33.23,18.01,23.48,16.57,22.18,16.51,44.82,27.49,35.91,24.73,29.16,17.85,23.95,15.44,,
3/5/17 12:00,48,50.39,39.95,45.02,32.61,36.95,26.61,33.93,21.02,24.83,17.27,20.61,17.49,45.39,29.14,35.49,24.92,29.34,19.57,24.31,13.86,,
3/5/17 15:00,51,51.64,43.09,47.90,33.54,39.22,27.22,34.70,18.78,24.39,17.18,22.63,15.81,49.66,27.87,37.90,27.97,29.03,19.30,24.70,13.95,,
3/5/17 18:00,54,57.27,48.68,53.90,36.56,41.63,30.13,37.83,19.65,26.10,16.95,23.29,16.15,54.56,32.01,40.42,26.16,30.74,20.00,25.09,15.65,,
3/5/17 21:00,57,56.37,44.93,51.81,34.52,42.49,28.45,37.17,19.17,25.05,16.57,21.16,16.15,49.80,31.50,38.73,24.33,30.68,17.78,22.67,12.99,,
3/6/17 0:00,60,61.65,48.93,56.13,38.50,44.90,28.13,38.44,19.62,25.77,16.20,21.85,15.71,58.50,33.50,40.36,30.39,30.99,17.51,21.87,14.18,,
3/6/17 3:00,63,66.03,56.28,60.47,42.40,46.86,31.25,39.96,20.12,26.83,16.66,22.74,15.19,61.83,36.50,45.61,29.52,32.94,17.55,22.64,13.55,,
3/6/17 6:00,66,70.99,61.40,65.57,44.56,52.10,32.60,43.96,19.52,27.46,17.14,23.83,16.17,68.50,40.44,45.35,33.46,33.36,19.29,23.52,14.39,,
3/6/17 9:00,69,76.62,62.56,70.06,50.72,54.58,36.13,46.74,20.58,28.22,17.76,25.81,16.46,67.26,45.92,46.92,34.91,35.26,19.96,23.24,13.95,,
3/6/17 12:00,72,84.45,75.99,80.62,63.00,65.41,44.94,51.95,25.92,32.19,22.08,28.17,19.88,82.14,61.28,60.47,41.86,44.73,26.19,28.27,17.55,,
3/3/17 12:00,0,5.66,6.76,7.45,7.74,6.42,7.59,6.58,6.74,5.91,5.27,5.72,6.48,6.53,7.50,6.33,7.46,5.53,6.69,6.78,6.24,,
3/3/17 15:00,3,6.39,7.59,8.95,8.61,7.60,8.82,7.43,7.42,6.41,5.72,6.43,7.54,7.44,8.87,7.12,8.89,6.38,7.21,7.60,6.69,,
3/3/17 18:00,6,8.01,9.07,10.93,10.51,8.92,10.58,8.95,9.19,7.80,7.34,7.63,9.31,8.98,9.84,8.45,9.85,7.23,8.68,9.49,7.89,,
3/3/17 21:00,9,8.53,9.65,11.40,10.85,9.10,10.96,9.61,9.51,7.91,7.51,8.39,10.30,9.85,10.21,9.12,10.67,7.36,9.40,10.01,8.55,,
3/4/17 0:00,12,9.19,10.93,12.20,11.87,10.30,12.00,10.12,10.26,8.80,7.99,8.38,9.58,10.49,11.50,9.28,10.86,8.11,9.28,10.18,9.35,,
3/4/17 3:00,15,10.29,12.27,13.88,12.52,10.84,12.88,10.73,11.03,9.30,8.77,8.73,10.37,11.90,12.42,9.55,11.06,9.07,10.45,10.63,8.96,,
3/4/17 6:00,18,11.44,12.89,15.60,14.11,11.39,13.93,11.89,11.04,9.85,9.26,9.07,10.94,12.70,12.85,10.72,12.10,9.16,10.34,11.29,10.21,,
3/4/17 9:00,21,12.49,13.80,18.19,15.43,13.35,14.44,12.33,12.16,10.67,9.16,9.99,11.31,15.04,14.30,11.67,13.70,9.95,11.36,12.54,10.22,,
3/4/17 12:00,24,12.87,14.64,17.26,14.28,13.30,13.36,11.73,11.43,9.33,8.53,8.63,9.43,13.41,12.37,11.13,11.01,9.53,9.32,10.64,8.60,,
3/4/17 15:00,27,14.91,15.80,19.76,16.52,15.00,15.38,12.58,12.59,10.42,9.63,9.09,11.68,14.99,15.35,12.23,12.65,10.11,10.90,11.53,10.10,,
3/4/17 18:00,30,16.52,17.34,20.13,17.24,15.97,16.56,13.38,11.86,10.69,9.59,9.34,12.14,15.78,15.64,13.29,12.91,11.21,11.41,11.47,10.13,,
3/4/17 21:00,33,17.48,18.59,24.11,17.72,15.47,16.42,14.72,12.07,10.38,8.99,8.99,12.07,17.44,17.32,12.49,13.49,10.81,10.99,11.78,9.91,,
3/5/17 0:00,36,18.94,20.91,24.67,19.98,18.07,17.84,14.98,13.25,10.90,10.05,9.88,13.13,17.87,16.97,13.85,14.53,12.12,11.04,11.99,9.87,,
3/5/17 3:00,39,20.85,21.80,27.12,21.32,18.11,18.04,15.27,13.90,10.86,9.89,10.30,12.44,19.66,18.63,14.26,14.94,12.96,12.11,12.87,10.30,,
3/5/17 6:00,42,22.73,23.33,28.16,22.52,19.08,18.64,17.11,14.00,12.20,10.24,10.70,13.41,22.47,22.14,15.23,15.60,12.81,12.54,13.70,11.07,,
